Date,Surface.H2O.temperature,Gear.Type,Level/Position.#,Sex,Shell.Height.,Total.Viscera.Weight.,Meat.Weight.,Gonad.Weight.,Shell.Weight.,GSI
7/24/2019,15,Net,2,M,87,57.42,17.19,8.78,52.8,15.29083943
7/24/2019,15,Net,3,F,65.5,34.56,9.64,7.05,38.49,20.39930556
7/24/2019,15,Net,4,F,88,61.76,19.52,8.39,50.91,13.58484456
7/24/2019,15,Net,5,M,68,28.7,10.12,2.16,32.81,7.526132404
7/24/2019,15,Net,6,M,91,67.53,22.67,9.84,49.15,14.57130164
7/24/2019,15,Net,7,F,73,38.53,12.48,4.56,37.09,11.83493382
7/24/2019,15,Net,8,F,96,71.59,21.5,13.29,59.09,18.56404526
7/24/2019,15,Net,9,M,80,39.97,10.45,8.41,34.11,21.04078059
7/24/2019,15,Net,10,M,96,50.48,21.16,3.17,54.86,6.279714739
7/24/2019,15,Cage,TL,F,84,47.23,16.26,3.65,39.86,7.728138895
7/24/2019,15,Cage,TL,M,83,49.82,14.78,8.94,47.92,17.94460056
7/24/2019,15,Cage,TR,F,89,50.76,17.08,7.58,73.95,14.93301812
7/24/2019,15,Cage,TR,M,86,50.37,15.03,9.24,47.18,18.34425253
7/24/2019,15,Cage,ML,M,91,52.39,15.64,8.86,45.43,16.91162436
7/24/2019,15,Cage,ML,F,88,50.79,18.91,3.84,43.68,7.560543414
7/24/2019,15,Cage,MR,M,83,37.41,11.84,2.66,32.43,7.110398289
7/24/2019,15,Cage,MR,F,72,35.15,12.08,3.97,35.78,11.29445235
7/24/2019,15,Cage,BR,M,90,56.5,17.6,10.1,44.62,17.87610619
7/24/2019,15,Cage,BL,F,84,49.23,19.07,2.68,44.05,5.44383506
8/2/2019,14,Net,1,F,67,23.89,9.3,1.88,30.58,7.869401423
8/2/2019,14,Net,2,F,94,57.04,18.29,5.69,45.46,9.97545582
8/2/2019,14,Net,3,M,77,34.22,10.2,6.07,39.5,17.73816482
8/2/2019,14,Net,4,M,89,55.33,15.65,6.82,46.14,12.32604374
8/2/2019,14,Net,5,F,82,46.43,17.12,4.07,56.34,8.765884127
8/2/2019,14,Net,6,F,91,61.04,18.42,6.3,49.02,10.32110092
8/2/2019,14,Net,7,M,82,42.67,12.91,4.69,44.1,10.9913288
8/2/2019,14,Net,8,M,87,66.97,19.77,12.5,63.7,18.66507391
8/2/2019,14,Net,9,F,72,26.42,8.72,4.08,29.99,15.44284633
8/2/2019,14,Net,10,M,86.5,56.12,16.15,7.83,43.25,13.95224519
8/2/2019,14,Cage,TR,M,90,55.71,17.51,11.74,55.22,21.0734159
8/2/2019,14,Cage,TR,F,84,45.22,18.74,4.35,39.08,9.619637329
8/2/2019,14,Cage,TL,M,84.5,42.36,13.15,8.14,39.24,19.21624174
8/2/2019,14,Cage,TL,F,75,29.06,10.12,2.59,40.12,8.912594632
8/2/2019,14,Cage,MR,M,76,44.38,13.85,9.11,38.73,20.52726453
8/2/2019,14,Cage,MR,F,71,39.2,12.36,7.31,41.1,18.64795918
8/2/2019,14,Cage,ML,F,89,61.76,16.6,10.16,56.46,16.4507772
8/2/2019,14,Cage,ML,M,90.5,51.06,17.1,8.74,52.01,17.11711712
8/2/2019,14,Cage,BL,M,83,41.76,14.22,8.42,40.68,20.16283525
8/2/2019,14,Cage,BR,F,NA,60.46,21.38,6.14,73.72,10.15547469
8/7/2019,14,Net,1,F,80,42.56,16.27,2.88,48.09,6.766917293
8/7/2019,14,Net,2,F,89,58.41,17.59,12.75,48.41,21.82845403
8/7/2019,14,Net,3,M,70,31.07,10.17,6.81,32.05,21.91824911
8/7/2019,14,Net,4,M,85.5,45.61,15.92,8.03,46.02,17.6057882
8/7/2019,14,Net,5,F,67,25.85,9.82,3.28,35.59,12.68858801
8/7/2019,14,Net,6,F,99.5,70.83,20.97,14,58.51,19.76563603
8/7/2019,14,Net,7,M,71,48.48,11.83,7.15,31.51,14.74834983
8/7/2019,14,Net,8,M,87,68.24,18.89,16.39,53.53,24.01817116
8/7/2019,14,Net,9,F,75,37.74,12.86,3.63,34.84,9.618441971
8/7/2019,14,Net,10,M,94,49.87,14.73,6.87,63.15,13.77581712
8/7/2019,14,Cage,TR,F,85,41.55,13.81,7.42,46.57,17.85800241
8/7/2019,14,Cage,TR,M,97,67.34,22.36,13.17,60.75,19.55746956
8/7/2019,14,Cage,TL,M,84,46.56,15.87,9.01,44.08,19.35137457
8/7/2019,14,Cage,TL,F,84,58.27,21.08,8.64,43.36,14.82752703
8/7/2019,14,Cage,MR,M,83,48.18,16.52,10.18,42.88,21.12909921
8/7/2019,14,Cage,MR,F,72.5,29.2,9.87,6.45,29.53,22.0890411
8/7/2019,14,Cage,ML,F,87,54.98,19.68,10.42,53.31,18.95234631
8/7/2019,14,Cage,ML,M,81,35.92,11.31,7.17,44.67,19.9610245
8/7/2019,14,Cage,BR,F,84,49.46,15.09,8.93,50.96,18.05499393
8/7/2019,14,Cage,BL,M,80,52.46,14.38,15.99,NA,30.48036599
8/15/2019,14,Cage,TL,M,78,26.03,9.05,1.94,27.22,7.452938917
8/15/2019,14,Cage,TL,F,78.5,26.35,9.41,3.14,38.51,11.91650854
8/15/2019,14,Cage,ML,M,91,38.67,11.45,4.57,40.81,11.81794673
8/15/2019,14,Cage,ML,F,90,49.45,15.86,6.27,53.28,12.67947422
8/15/2019,14,Cage,TR,F,95,55.99,18.7,8.61,60.2,15.37774603
8/15/2019,14,Cage,TR,M,89.5,51.67,13.89,8.88,53.47,17.185988
8/15/2019,14,Cage,BR,F,95.5,61.54,18.56,13.41,86.78,21.79070523
8/15/2019,14,Cage,BL,M,80.5,44,15.81,8.58,46.8,19.5
8/15/2019,14,Cage,MR,F,79.5,34.38,11.06,4.37,38.26,12.71087842
8/15/2019,14,Cage,MR,M,70,44.37,7.87,3.09,36.86,6.964164976
8/15/2019,14,Net,10,F,94,73.44,24.37,10.56,68.37,14.37908497
8/15/2019,14,Net,9,M,86,58.93,18.55,12.27,43.44,20.82131342
8/15/2019,14,Net,8,F,84.5,47.62,15.19,6.1,51.56,12.80974381
8/15/2019,14,Net,7,F,80,53.09,15.6,12.62,38.65,23.77095498
8/15/2019,14,Net,5,M,77,36.06,11.36,7.1,37.9,19.68940654
8/15/2019,14,Net,6,M,94.5,67.35,27.72,4.53,55.19,6.726057906
8/15/2019,14,Net,3,F,72.5,28.33,10.09,3.7,36.7,13.06036004
8/15/2019,14,Net,4,F,85,67.83,17.13,12,52.23,17.69128704
8/15/2019,14,Net,1,M,75,28.44,10.02,6.04,37.46,21.23769339
8/15/2019,14,Net,2,M,91,57.91,57.78,13.5,47.16,23.31203592
8/22/2019,14,Cage,TR,M,88,56.36,17.27,12.47,63.62,22.12562101
8/22/2019,14,Cage,TR,F,90,54.14,20.2,7.89,47.49,14.57332841
8/22/2019,14,Cage,TL,F,85,45.52,16.24,7.37,54.03,16.19068541
8/22/2019,14,Cage,TL,M,79,37.31,13.55,6.15,68.57,16.48351648
8/22/2019,14,Cage,ML,M,88,45.72,12.19,12.72,48.43,27.82152231
8/22/2019,14,Cage,ML,F,89,55.38,22.2,5.96,54.44,10.76200795
8/22/2019,14,Cage,MR,F,71,28.53,12.22,4.09,40.47,14.33578689
8/22/2019,14,Cage,MR,M,81,34.03,11.97,5.57,46.15,16.36791067
8/22/2019,14,Cage,BR,M,97,56.99,19.4,11.38,62.46,19.96841551
8/22/2019,14,Cage,BL,F,75,25.79,10.34,2.97,36.2,11.51609151
8/22/2019,14,Net,1,M,71,37.84,12.2,5.64,43.21,14.90486258
8/22/2019,14,Net,2,M,97,72.21,21.77,9.44,54.84,13.07298158
8/22/2019,14,Net,3,F,87,68.86,20.3,16.28,50.46,23.64217252
8/22/2019,14,Net,4,F,98.5,66.08,22.19,4.12,62.37,6.234866828
8/22/2019,14,Net,5,M,83,45.77,12.11,12.17,45.96,26.58946908
8/22/2019,14,Net,6,M,95,68.05,19.01,11.35,57.29,16.67891256
8/22/2019,14,Net,7,F,76,34.38,11.08,4.72,43.08,13.72891216
8/22/2019,14,Net,8,F,93,55.4,20.2,4.92,61.5,8.880866426
8/22/2019,14,Net,9,M,78.5,45.45,13.88,5.47,33.61,12.03520352
8/22/2019,14,Net,10,M,91,60.59,17.6,8.13,54.51,13.41805578
8/27/2019,NA,Cage,BR,F,91,49.14,16.87,2.78,43.43,5.657305657
8/27/2019,NA,Cage,BL,F,85,43.64,11.74,9.96,41.84,22.82309808
8/27/2019,NA,Cage,ML,M,91,36.62,12.12,2.37,38.55,6.471873293
8/27/2019,NA,Cage,ML,F,88,57.71,15.94,12.94,59.87,22.42245711
8/27/2019,NA,Cage,MR,F,75,26.61,7.94,3.89,37.95,14.61856445
8/27/2019,NA,Cage,MR,M,79,37.71,17.15,5.31,43.86,14.08114558
8/27/2019,NA,Cage,TL,F,78,38.61,12.3,6.35,38.89,16.44651645
8/27/2019,NA,Cage,TL,M,84,43.37,10.54,8.83,42.36,20.35969564
8/27/2019,NA,Cage,TR,F,91.5,52.72,16.73,5.89,42.12,11.17223065
8/27/2019,NA,Cage,TR,M,86.5,42.11,10.93,5.7,51.08,13.5359772
8/29/2019,15,Net,1,M,71,34.78,10.37,8.85,40.24,25.44565842
8/29/2019,15,Net,2,M,92,82.09,22.81,21.1,51.07,25.70349616
8/29/2019,15,Net,3,F,73,35.14,10.93,5.98,40.3,17.01764371
8/29/2019,15,Net,4,F,87,74.99,22.23,16.4,47.43,21.86958261
8/29/2019,15,Net,5,M,74,40.28,11.74,8,37.47,19.86097319
8/29/2019,15,Net,6,M,94,63.55,21.75,5.75,54.47,9.047993706
8/29/2019,15,Net,7,F,81,49.18,12.96,13.08,55.54,26.59617731
8/29/2019,15,Net,8,F,94,65.89,21.2,10.41,52.21,15.79905904
8/29/2019,15,Net,9,M,78,46.64,15.05,10.68,38.76,22.89879931
8/29/2019,15,Net,10,F,92,63.68,23.7,5.7,66.08,8.951005025
9/5/2019,14.5,Net,1,M,72,32.84,8.93,7.63,39.46,23.23386114
9/5/2019,14.5,Net,2,M,88.5,76.64,20.2,24.41,62.28,31.85020877
9/5/2019,14.5,Net,3,F,76.5,35.22,12.04,3.4,40.03,9.653605906
9/5/2019,14.5,Net,4,F,86.5,69.78,20.85,10.02,57.59,14.35941531
9/5/2019,14.5,Net,5,M,81.5,47.79,13.98,9.87,54.07,20.65285625
9/5/2019,14.5,Net,6,M,81,62.33,17.47,16.32,52.06,26.18321835
9/5/2019,14.5,Net,7,F,83,57.03,12.73,18.12,54.98,31.77275118
9/5/2019,14.5,Net,8,F,89.5,66.55,21.5,10.33,56.45,15.52216379
9/5/2019,14.5,Net,9,M,76.5,33.93,9.81,9.67,38.98,28.49985264
9/5/2019,14.5,Net,10,F,92.5,69.78,17.8,15.69,67.24,22.48495271
9/5/2019,14.5,Cage,TR,M,91,55.69,19.91,7.08,56.35,12.71323397
9/5/2019,14.5,Cage,TR,F,86,45.2,15.9,5.26,51.72,11.63716814
9/5/2019,14.5,Cage,ML,M,85.5,47.19,14.55,9.62,43.86,20.38567493
9/5/2019,14.5,Cage,ML,F,92,49.66,15.9,8.36,67.82,16.83447443
9/5/2019,14.5,Cage,MR,M,75,36.43,12.7,6.88,38.15,18.8855339
9/5/2019,14.5,Cage,MR,F,65,23.29,8.04,3.43,32.45,14.72735079
9/5/2019,14.5,Cage,BL,M,79,85.85,12.57,5.57,40.6,6.488060571
9/5/2019,14.5,Cage,BR,F,93,50.17,16.53,5.83,55.34,11.62049033
9/5/2019,14.5,Cage,TL,M,68,18.53,5.91,3.36,38.96,18.13275769
9/5/2019,14.5,Cage,TL,F,70,19.66,6.88,2.1,29.89,10.68158698
9/11/2019,NA,Net,1,F,78,43.51,16.93,2.21,49.02,5.079292117
9/11/2019,NA,Net,2,F,91,58.55,16.99,11.96,49.88,20.42698548
9/11/2019,NA,Net,3,M,81,46.97,15.94,10.67,49.64,22.71662763
9/11/2019,NA,Net,4,M,94,69.91,18.91,17.73,52.81,25.36117866
9/11/2019,NA,Net,5,F,81,36.31,12.92,2.99,41.32,8.234646103
9/11/2019,NA,Net,6,F,96,70.44,25.9,4.76,64.71,6.757524134
9/11/2019,NA,Net,7,M,77,46.54,16.54,10.13,46.07,21.7662226
9/11/2019,NA,Net,8,M,91.5,64.97,18.52,16.76,59.86,25.79652147
9/11/2019,NA,Net,9,F,75,21.68,3.29,3.03,30.06,13.97601476
9/11/2019,NA,Net,10,M,90,65.08,20.18,13.02,56.2,20.00614628
9/11/2019,NA,Cage,TR,M,95.5,63.15,19.8,7.84,59.14,12.41488519
9/11/2019,NA,Cage,TR,F,87,54.73,16.36,5.58,54.66,10.19550521
9/11/2019,NA,Cage,TL,F,78,36.79,12.32,2.54,58.09,6.904050014
9/11/2019,NA,Cage,TL,M,83,51.05,11.45,11.17,41.34,21.8805093
9/11/2019,NA,Cage,ML,F,87,51.22,14.81,8.47,49.75,16.53650918
9/11/2019,NA,Cage,ML,M,85.5,45.57,11.11,6.49,65.07,14.24182576
9/11/2019,NA,Cage,MR,F,72,33.42,12.53,2.28,38.03,6.822262118
9/11/2019,NA,Cage,MR,M,81,46.37,13.5,10.82,51.42,23.33405219
9/11/2019,NA,Cage,BR,M,102,67.25,19.71,10.26,62.93,15.25650558
9/11/2019,NA,Cage,BL,F,81.5,46.87,14.79,9.85,50.13,21.01557499
10/11/2019,12.5,Net,1,F,78,38.23,14.86,4.1,44.47,10.72456186
10/11/2019,12.5,Net,2,F,90,49.45,17.41,5.59,67.99,11.30434783
10/11/2019,12.5,Net,3,M,82,45.8,18.87,12.31,45.84,26.87772926
10/11/2019,12.5,Net,4,M,96,78.63,30.78,8.34,61.39,10.60663869
10/11/2019,12.5,Net,5,F,72,34.73,14.17,2.13,39.05,6.133026202
10/11/2019,12.5,Net,6,F,92,57.7,25.39,3.81,66.98,6.603119584
10/11/2019,12.5,Net,7,M,84,43.31,15.58,3.43,47.87,7.919649042
10/11/2019,12.5,Net,8,M,92,51.87,21.54,4.08,77.46,7.865818392
10/11/2019,12.5,Net,9,F,73,42.52,16.48,3.15,50,7.408278457
10/11/2019,12.5,Net,10,M,96,67.96,28.03,3.84,62.11,5.650382578
10/11/2019,12.5,Cage,MR,F,75,55.06,10.74,1.27,51.53,2.306574646
10/11/2019,12.5,Cage,MR,M,82,33.27,12.76,1.51,53.68,4.538623384
10/11/2019,12.5,Cage,TL,F,83,42.54,16.91,20.07,53.43,47.17912553
10/11/2019,12.5,Cage,TL,M,79,37.3,14.99,1.9,43.95,5.09383378
10/11/2019,12.5,Cage,TR,M,86,47.92,20.33,4.32,51.5,9.015025042
10/11/2019,12.5,Cage,TR,F,85,51.58,18.65,5.65,57.49,10.95385808
10/11/2019,12.5,Cage,ML,M,90,40.51,14.32,3.18,45.07,7.849913602
10/11/2019,12.5,Cage,ML,F,88,46.37,17.59,3.68,43.87,7.936165624
10/11/2019,12.5,Cage,BR,M,90.5,48.51,17.68,3.83,54.14,7.895279324
10/11/2019,12.5,Cage,BL,F,80.5,35.28,13.64,2.05,49.31,5.810657596
